,0
0,0.5207666242088013
1,0.031369844014547545
2,0.0734385066729239
3,0.017441892205679103
4,0.024124498995220425
5,0.020523107452266817
6,0.01999062497993139
7,0.050300983716803034
8,0.023993968391329713
9,0.025338406170132898
10,0.0251868028552351
11,0.021542949254891638
12,0.027517110885712005
13,0.031280922931241975
